scouts,rescue,seed,step,rescued_victims,detected_victims,explored_fraction,collisions
0,2,3,2000,11,11,0.7106493506493506,0
0,2,3,2500,12,12,0.8285714285714286,0
0,2,3,3000,13,13,0.8597402597402597,0
0,2,3,3500,14,14,0.8664935064935065,0
0,2,4,500,2,2,0.27376623376623377,0
0,2,4,1000,3,3,0.4815584415584416,0
0,2,4,1500,7,7,0.6763636363636364,0
0,2,4,2000,7,8,0.6992207792207792,0
0,2,4,2500,9,9,0.7641558441558441,0
0,2,4,3000,10,10,0.8062337662337662,0
0,2,4,3500,10,10,0.8109090909090909,0
0,2,4,4000,13,14,0.8742857142857143,0
1,2,0,500,6,6,0.3574025974025974,0
1,2,0,1000,9,9,0.691948051948052,2
1,2,0,1500,9,10,0.8088311688311688,2
1,2,0,2000,11,11,0.8332467532467532,2
1,2,0,2500,12,12,0.850909090909091,2
1,2,0,3000,12,12,0.8602597402597403,2
1,2,1,500,4,5,0.5838961038961039,0
1,2,1,1000,5,7,0.6831168831168831,0
1,2,1,1500,7,8,0.7688311688311689,0
1,2,1,2000,9,9,0.7875324675324675,0
1,2,1,2500,10,10,0.825974025974026,0
1,2,1,3000,10,10,0.841038961038961,0
1,2,1,3500,10,11,0.8514285714285714,0
1,2,1,4000,11,11,0.8597402597402597,0
1,2,1,4500,12,12,0.8597402597402597,0
1,2,2,500,3,8,0.6025974025974026,0
1,2,2,1000,7,11,0.6436363636363637,0
1,2,2,1500,10,12,0.7584415584415585,0
1,2,2,2000,11,13,0.828051948051948,0
1,2,2,2500,12,13,0.8446753246753247,0
1,2,2,3000,13,14,0.8597402597402597,0
1,2,2,3500,14,14,0.8654545454545455,0
1,2,2,4000,14,14,0.8654545454545455,0
1,2,3,500,4,7,0.44415584415584414,0
1,2,3,1000,6,10,0.5516883116883117,1
1,2,3,1500,8,12,0.730909090909091,1
1,2,3,2000,9,13,0.8451948051948052,1
1,2,3,2500,11,14,0.8571428571428571,1
1,2,3,3000,13,14,0.8597402597402597,1
1,2,3,3500,14,15,0.8706493506493507,1
1,2,3,4000,14,15,0.8784415584415585,1
1,2,4,500,3,5,0.5828571428571429,0
1,2,4,1000,6,8,0.7672727272727272,0
1,2,4,1500,9,9,0.7958441558441558,0
1,2,4,2000,12,15,0.8690909090909091,0
2,2,0,500,7,8,0.4514285714285714,0
2,2,0,1000,9,10,0.6909090909090909,0
2,2,0,1500,9,10,0.8223376623376624,0
2,2,0,2000,10,12,0.8514285714285714,0
2,2,0,2500,11,12,0.8633766233766234,0
2,2,0,3000,12,13,0.8722077922077922,0
2,2,0,3500,13,14,0.8851948051948052,0
2,2,0,4000,14,15,0.8945454545454545,0
2,2,0,4500,14,15,0.8992207792207793,0
2,2,1,500,6,10,0.6794805194805195,0
2,2,1,1000,9,11,0.7615584415584415,0
2,2,1,1500,11,11,0.8316883116883117,0
2,2,1,2000,12,13,0.8436363636363636,0
2,2,1,2500,12,14,0.8555844155844156,0
2,2,1,3000,14,15,0.8748051948051948,0
2,2,1,3500,14,15,0.8857142857142857,0
2,2,2,500,6,8,0.5787012987012987,0
2,2,2,1000,9,11,0.6457142857142857,0
2,2,2,1500,11,12,0.678961038961039,0
2,2,2,2000,12,12,0.8093506493506494,0
2,2,2,2500,14,14,0.8644155844155844,0
2,2,2,3000,14,15,0.8789610389610389,0
2,2,3,500,6,8,0.5303896103896104,0
2,2,3,1000,11,11,0.7610389610389611,0
2,2,3,1500,12,13,0.8342857142857143,0
2,2,3,2000,13,13,0.8716883116883117,0
2,2,4,500,2,6,0.6212987012987014,0
2,2,4,1000,5,7,0.7111688311688311,0
2,2,4,1500,7,9,0.7787012987012987,0
2,2,4,2000,9,11,0.8457142857142858,0
2,2,4,2500,9,13,0.8935064935064935,0
2,2,4,3000,14,15,0.8976623376623377,0
3,2,0,500,7,8,0.5127272727272727,0
3,2,0,1000,8,10,0.734025974025974,0
3,2,0,1500,10,13,0.8358441558441558,0
3,2,0,2000,11,13,0.8571428571428571,0
3,2,0,2500,12,13,0.8805194805194805,0
3,2,0,3000,13,13,0.8950649350649351,0
3,2,0,3500,14,15,0.8992207792207793,0
3,2,0,4000,14,15,0.907012987012987,0
3,2,1,500,7,11,0.7132467532467532,0
3,2,1,1000,11,14,0.7522077922077922,0
3,2,1,1500,13,15,0.8649350649350649,0
3,2,1,2000,14,15,0.8711688311688311,0
3,2,2,500,4,10,0.5916883116883117,0
3,2,2,1000,8,12,0.7236363636363636,0
3,2,2,1500,9,13,0.8685714285714285,0
3,2,2,2000,11,13,0.8758441558441559,0
3,2,2,2500,12,15,0.8805194805194805,0
3,2,2,3000,13,15,0.8831168831168831,0
3,2,3,500,6,9,0.5511688311688312,0
3,2,3,1000,11,12,0.6924675324675325,0
3,2,3,1500,13,13,0.8612987012987013,0
3,2,3,2000,13,14,0.8675324675324675,0
3,2,3,2500,14,15,0.8768831168831169,0
3,2,4,500,3,10,0.811948051948052,0
